person_gender,person_education,person_emp_exp,person_home_ownership,loan_intent,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,person_age,person_income,loan_amnt,cb_person_cred_hist_length,loan_status
female,Master,0,RENT,PERSONAL,16.02,0.49,561,No,22,71948,35000,3,1
female,High School,0,OWN,EDUCATION,11.14,0.08,504,Yes,21,12282,1000,2,0
female,High School,3,MORTGAGE,MEDICAL,12.87,0.44,635,No,25,12438,5500,3,1
female,Bachelor,0,RENT,MEDICAL,15.23,0.44,675,No,23,79753,35000,2,1
male,Master,1,RENT,MEDICAL,14.27,0.53,586,No,24,66135,35000,4,1
female,High School,0,OWN,VENTURE,7.14,0.19,532,No,21,12951,2500,2,1
female,Bachelor,1,RENT,EDUCATION,12.42,0.37,701,No,26,93471,35000,3,1
female,High School,5,RENT,MEDICAL,11.11,0.37,585,No,24,95550,35000,4,1
female,Associate,3,RENT,PERSONAL,8.9,0.35,544,No,24,100684,35000,2,1
female,High School,0,OWN,VENTURE,14.74,0.13,640,No,21,12739,1600,3,1
female,High School,0,RENT,VENTURE,10.37,0.34,621,No,22,102985,35000,4,1
female,Associate,0,OWN,HOMEIMPROVEMENT,8.63,0.34,651,No,21,13113,4500,2,1
male,Bachelor,3,RENT,VENTURE,7.9,0.3,573,No,23,114860,35000,2,1
male,Master,0,RENT,EDUCATION,18.39,0.27,708,No,26,130713,35000,4,1
female,Associate,0,RENT,EDUCATION,7.9,0.25,583,No,23,138998,35000,4,0
female,Master,5,MORTGAGE,DEBTCONSOLIDATION,10.65,0.05,670,Yes,23,600891,30000,3,0
male,Bachelor,0,RENT,EDUCATION,7.9,0.24,663,No,23,144943,35000,4,0
female,High School,0,RENT,MEDICAL,20.0,0.31,694,No,23,111369,35000,4,1
male,Bachelor,0,RENT,DEBTCONSOLIDATION,18.25,0.26,709,No,23,136628,35000,4,1
female,Master,1,MORTGAGE,EDUCATION,10.99,0.12,679,No,24,14283,1750,2,1
male,Bachelor,0,RENT,VENTURE,7.49,0.18,684,Yes,25,195718,35000,4,0
male,High School,4,RENT,PERSONAL,16.77,0.21,662,No,25,165792,34800,2,0
female,Master,0,RENT,EDUCATION,17.58,0.43,691,No,22,79255,34000,4,1
female,Bachelor,0,OWN,PERSONAL,7.29,0.11,600,Yes,24,13866,1500,3,0
male,Bachelor,1,RENT,PERSONAL,14.54,0.35,691,No,22,97420,33950,4,1
female,High School,0,RENT,HOMEIMPROVEMENT,12.68,0.4,654,No,24,82443,33000,3,1
female,Associate,0,MORTGAGE,VENTURE,17.74,0.32,626,No,21,14288,4575,3,1
male,High School,0,OWN,PERSONAL,9.32,0.1,607,No,23,14293,1400,3,0
female,Bachelor,1,RENT,HOMEIMPROVEMENT,9.99,0.41,700,No,24,79054,32500,3,1
female,Bachelor,0,OTHER,EDUCATION,12.84,0.27,553,No,21,14988,4000,2,1
male,High School,0,OWN,MEDICAL,11.12,0.13,589,No,21,14858,2000,3,1
